CollarSerialNumber,Year,Julianday,Hour,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
36092,16,137,18,34.18311,-118.58625,0.9,8,41,3,5/16/2016
36092,16,138,6,34.18786,-118.58329,0.9,9,41,3,5/17/2016
36092,16,138,19,34.17964,-118.57519,1.1,7,93,3,5/17/2016
36092,16,139,7,34.18764,-118.58493,0.9,8,41,3,5/18/2016
36092,16,139,20,34.18397,-118.58218,1.9,5,41,3,5/18/2016
36092,16,140,8,34.18759,-118.58324,0.8,10,41,3,5/19/2016
36092,16,140,21,34.18777,-118.58316,1.2,6,42,3,5/19/2016
36092,16,141,9,34.18267,-118.58786,1.3,7,42,3,5/20/2016
36092,16,141,22,34.18713,-118.58292,0.7,11,41,3,5/20/2016
36092,16,142,10,34.18346,-118.58634,1.4,6,41,3,5/21/2016
36092,16,142,23,34.17932,-118.57918,2.4,5,41,3,5/21/2016
36092,16,144,0,34.18446,-118.58714,0.9,8,70,3,5/23/2016
36092,16,145,13,34.18731,-118.58271,1.3,6,41,3,5/24/2016
36092,16,146,14,34.18346,-118.58641,0.8,9,41,3,5/25/2016
36092,16,147,3,34.18732,-118.57707,1,8,41,3,5/26/2016
36092,16,147,15,34.18004,-118.58788,1,7,41,3,5/26/2016
36092,16,147,16,34.17997,-118.58793,1.3,6,41,3,5/26/2016
36092,16,148,4,34.1842,-118.58399,0.8,11,41,3,5/27/2016
36092,16,148,17,34.18264,-118.58538,1,6,62,3,5/27/2016
36092,16,149,5,34.18627,-118.5829,1.5,6,41,3,5/28/2016
36092,16,149,18,34.18224,-118.58279,2.1,5,41,3,5/28/2016
36092,16,150,6,34.17992,-118.57852,0.9,9,42,3,5/29/2016
36092,16,150,19,34.17941,-118.57558,1.8,5,64,3,5/29/2016
36092,16,151,7,34.18351,-118.58771,0.8,9,41,3,5/30/2016
36092,16,151,20,34.1873,-118.58292,1.1,9,41,3,5/30/2016
36092,16,152,8,34.1879,-118.58381,0.8,9,41,3,5/31/2016
36092,16,152,21,34.18376,-118.58339,0.9,9,41,3,5/31/2016
36092,16,153,9,34.18607,-118.58433,0.9,9,41,3,6/1/2016
36092,16,153,22,34.187,-118.58694,1.8,8,41,3,6/1/2016
36092,16,154,23,34.1873,-118.58685,1,8,42,3,6/2/2016
36092,16,156,0,34.18568,-118.58328,1,8,41,3,6/4/2016
36092,16,156,12,34.18,-118.58793,1.1,8,42,3,6/4/2016
36092,16,157,13,34.18006,-118.58799,0.9,7,41,3,6/5/2016
36092,16,158,2,34.18552,-118.57749,4.5,4,43,3,6/6/2016
36092,16,158,14,34.18098,-118.58572,1.3,6,41,3,6/6/2016
36092,16,159,3,34.18818,-118.58465,0.9,9,41,3,6/7/2016
36092,16,160,4,34.18756,-118.58382,0.8,10,41,3,6/8/2016
36092,16,160,17,34.18074,-118.58572,1.3,6,41,3,6/8/2016
36092,16,161,5,34.18556,-118.58366,2.6,4,41,3,6/9/2016
36092,16,161,18,34.18723,-118.58502,1,8,41,3,6/9/2016
36092,16,162,6,34.18019,-118.58326,2.9,4,57,3,6/10/2016
36092,16,162,19,34.18378,-118.58286,1.4,8,41,3,6/10/2016
36092,16,163,7,34.18774,-118.58477,1,7,41,3,6/11/2016
36092,16,163,20,34.18054,-118.57758,0.8,10,41,3,6/11/2016
36092,16,164,21,34.18724,-118.58679,1.3,6,42,3,6/12/2016
36092,16,165,9,34.18026,-118.58786,1,8,41,3,6/13/2016
36092,16,165,22,34.18542,-118.58141,1.2,6,63,3,6/13/2016
36092,16,166,10,34.18734,-118.58587,0.7,10,41,3,6/14/2016
36092,16,166,23,34.18353,-118.58769,1,8,41,3,6/14/2016
36092,16,167,11,34.18037,-118.58782,1.1,7,42,3,6/15/2016
36092,16,168,0,34.18599,-118.5834,0.8,10,41,3,6/16/2016
36092,16,168,12,34.18007,-118.58788,0.7,10,41,3,6/16/2016
36092,16,169,13,34.18054,-118.58763,1,8,41,3,6/17/2016
36092,16,170,2,34.18013,-118.58686,1.4,6,63,3,6/18/2016
36092,16,170,14,34.17995,-118.58782,1.3,6,41,3,6/18/2016
36092,16,171,3,34.18317,-118.58572,0.9,10,56,3,6/19/2016
36092,16,171,15,34.18091,-118.58555,1.4,6,41,3,6/19/2016
36092,16,171,16,34.18093,-118.58561,1.6,7,41,3,6/19/2016
36092,16,172,4,34.18486,-118.57937,3.1,4,41,3,6/20/2016
36092,16,172,17,34.18076,-118.58672,1.3,6,41,3,6/20/2016
36092,16,173,5,34.18076,-118.58712,1.1,7,42,3,6/21/2016
36092,16,173,18,34.18193,-118.58321,1.6,6,69,3,6/21/2016
36092,16,174,19,34.17987,-118.57521,1,8,42,3,6/22/2016
36092,16,175,7,34.18009,-118.58531,1.1,6,41,3,6/23/2016
36092,16,175,20,34.18007,-118.58321,1.2,7,62,3,6/23/2016
36092,16,176,8,34.18112,-118.58734,1.5,5,41,3,6/24/2016
36092,16,176,21,34.18222,-118.58349,1.4,8,57,3,6/24/2016
36092,16,177,22,34.18299,-118.58507,1.3,6,41,3,6/25/2016
36092,16,178,23,34.18746,-118.58031,1.3,7,41,3,6/26/2016
