CollarSerialNumber,Year,Julianday,Hour,Latitude,Longitude,HDOP,NumSats,FixTime,2D/3D,Date
036092,16,121,13,+34.18554,-118.58767,01.0,07,041,3,2016-04-30
036092,16,122,02,+34.18647,-118.58142,01.5,04,042,3,2016-05-01
036092,16,122,14,+34.18561,-118.58786,01.6,05,041,3,2016-05-01
036092,16,123,15,+34.18561,-118.58759,01.3,06,042,3,2016-05-02
036092,16,124,04,+34.18382,-118.58200,01.4,07,093,3,2016-05-03
036092,16,125,18,+34.18740,-118.58374,01.6,06,064,3,2016-05-04
036092,16,127,20,+34.18719,-118.58361,01.3,06,041,3,2016-05-06
036092,16,129,22,+34.18568,-118.58328,01.3,06,041,3,2016-05-08
036092,16,130,23,+34.18696,-118.58359,01.6,05,099,3,2016-05-09
036092,16,132,00,+34.18407,-118.58061,08.8,04,041,3,2016-05-11
036092,16,133,13,+34.18692,-118.58198,01.5,06,041,3,2016-05-12
036092,16,134,02,+34.18762,-118.58061,01.1,07,066,3,2016-05-13
036092,16,134,14,+34.18398,-118.58580,00.8,10,042,3,2016-05-13
036092,16,135,03,+34.18334,-118.58759,00.8,10,041,3,2016-05-14
036092,16,135,15,+34.18350,-118.58647,01.7,05,041,3,2016-05-14
036092,16,135,16,+34.18347,-118.58648,00.9,09,041,3,2016-05-14
036092,16,136,04,+34.18473,-118.58778,00.9,10,041,3,2016-05-15
036092,16,136,17,+34.18343,-118.58653,01.2,07,042,3,2016-05-15
036092,16,137,05,+34.18424,-118.58400,00.8,11,042,3,2016-05-16
036092,16,137,18,+34.18311,-118.58625,00.9,08,041,3,2016-05-16
036092,16,138,06,+34.18786,-118.58329,00.9,09,041,3,2016-05-17
036092,16,138,19,+34.17964,-118.57519,01.1,07,093,3,2016-05-17
036092,16,139,07,+34.18764,-118.58493,00.9,08,041,3,2016-05-18
036092,16,139,20,+34.18397,-118.58218,01.9,05,041,3,2016-05-18
036092,16,140,08,+34.18759,-118.58324,00.8,10,041,3,2016-05-19
036092,16,140,21,+34.18777,-118.58316,01.2,06,042,3,2016-05-19
036092,16,141,09,+34.18267,-118.58786,01.3,07,042,3,2016-05-20
036092,16,141,22,+34.18713,-118.58292,00.7,11,041,3,2016-05-20
036092,16,142,10,+34.18346,-118.58634,01.4,06,041,3,2016-05-21
036092,16,142,23,+34.17932,-118.57918,02.4,05,041,3,2016-05-21
036092,16,144,00,+34.18446,-118.58714,00.9,08,070,3,2016-05-23
036092,16,145,13,+34.18731,-118.58271,01.3,06,041,3,2016-05-24
036092,16,146,14,+34.18346,-118.58641,00.8,09,041,3,2016-05-25
036092,16,147,03,+34.18732,-118.57707,01.0,08,041,3,2016-05-26
036092,16,147,15,+34.18004,-118.58788,01.0,07,041,3,2016-05-26
036092,16,147,16,+34.17997,-118.58793,01.3,06,041,3,2016-05-26
036092,16,148,04,+34.18420,-118.58399,00.8,11,041,3,2016-05-27
036092,16,148,17,+34.18264,-118.58538,01.0,06,062,3,2016-05-27
036092,16,149,05,+34.18627,-118.58290,01.5,06,041,3,2016-05-28
036092,16,149,18,+34.18224,-118.58279,02.1,05,041,3,2016-05-28
036092,16,150,06,+34.17992,-118.57852,00.9,09,042,3,2016-05-29
036092,16,150,19,+34.17941,-118.57558,01.8,05,064,3,2016-05-29
036092,16,151,07,+34.18351,-118.58771,00.8,09,041,3,2016-05-30
036092,16,151,20,+34.18730,-118.58292,01.1,09,041,3,2016-05-30
036092,16,152,08,+34.18790,-118.58381,00.8,09,041,3,2016-05-31
036092,16,152,21,+34.18376,-118.58339,00.9,09,041,3,2016-05-31
036092,16,153,09,+34.18607,-118.58433,00.9,09,041,3,2016-06-01
036092,16,153,22,+34.18700,-118.58694,01.8,08,041,3,2016-06-01
036092,16,154,23,+34.18730,-118.58685,01.0,08,042,3,2016-06-02
036092,16,156,00,+34.18568,-118.58328,01.0,08,041,3,2016-06-04
036092,16,156,12,+34.18000,-118.58793,01.1,08,042,3,2016-06-04
036092,16,157,13,+34.18006,-118.58799,00.9,07,041,3,2016-06-05
036092,16,158,02,+34.18552,-118.57749,04.5,04,043,3,2016-06-06
036092,16,158,14,+34.18098,-118.58572,01.3,06,041,3,2016-06-06
036092,16,159,03,+34.18818,-118.58465,00.9,09,041,3,2016-06-07
036092,16,160,04,+34.18756,-118.58382,00.8,10,041,3,2016-06-08
036092,16,160,17,+34.18074,-118.58572,01.3,06,041,3,2016-06-08
036092,16,161,05,+34.18556,-118.58366,02.6,04,041,3,2016-06-09
036092,16,161,18,+34.18723,-118.58502,01.0,08,041,3,2016-06-09
036092,16,162,06,+34.18019,-118.58326,02.9,04,057,3,2016-06-10
036092,16,162,19,+34.18378,-118.58286,01.4,08,041,3,2016-06-10
036092,16,163,07,+34.18774,-118.58477,01.0,07,041,3,2016-06-11
036092,16,163,20,+34.18054,-118.57758,00.8,10,041,3,2016-06-11
036092,16,164,21,+34.18724,-118.58679,01.3,06,042,3,2016-06-12
036092,16,165,09,+34.18026,-118.58786,01.0,08,041,3,2016-06-13
036092,16,165,22,+34.18542,-118.58141,01.2,06,063,3,2016-06-13
036092,16,166,10,+34.18734,-118.58587,00.7,10,041,3,2016-06-14
036092,16,166,23,+34.18353,-118.58769,01.0,08,041,3,2016-06-14
036092,16,167,11,+34.18037,-118.58782,01.1,07,042,3,2016-06-15
036092,16,168,00,+34.18599,-118.58340,00.8,10,041,3,2016-06-16
036092,16,168,12,+34.18007,-118.58788,00.7,10,041,3,2016-06-16
036092,16,169,13,+34.18054,-118.58763,01.0,08,041,3,2016-06-17
036092,16,170,02,+34.18013,-118.58686,01.4,06,063,3,2016-06-18
036092,16,170,14,+34.17995,-118.58782,01.3,06,041,3,2016-06-18
036092,16,171,03,+34.18317,-118.58572,00.9,10,056,3,2016-06-19
036092,16,171,15,+34.18091,-118.58555,01.4,06,041,3,2016-06-19
036092,16,171,16,+34.18093,-118.58561,01.6,07,041,3,2016-06-19
036092,16,172,04,+34.18486,-118.57937,03.1,04,041,3,2016-06-20
036092,16,172,17,+34.18076,-118.58672,01.3,06,041,3,2016-06-20
036092,16,173,05,+34.18076,-118.58712,01.1,07,042,3,2016-06-21
036092,16,173,18,+34.18193,-118.58321,01.6,06,069,3,2016-06-21
036092,16,174,19,+34.17987,-118.57521,01.0,08,042,3,2016-06-22
036092,16,175,07,+34.18009,-118.58531,01.1,06,041,3,2016-06-23
036092,16,175,20,+34.18007,-118.58321,01.2,07,062,3,2016-06-23
036092,16,176,08,+34.18112,-118.58734,01.5,05,041,3,2016-06-24
036092,16,176,21,+34.18222,-118.58349,01.4,08,057,3,2016-06-24
036092,16,177,22,+34.18299,-118.58507,01.3,06,041,3,2016-06-25
036092,16,178,23,+34.18746,-118.58031,01.3,07,041,3,2016-06-26
036092,16,179,11,+34.18006,-118.58802,01.4,07,041,3,2016-06-27
036092,16,180,00,+34.18674,-118.57588,01.1,08,041,3,2016-06-28
036092,16,181,13,+34.18142,-118.58737,01.4,04,041,3,2016-06-29
036092,16,182,02,+34.18387,-118.57239,01.0,08,057,3,2016-06-30
036092,16,182,14,+34.17983,-118.58786,01.2,07,041,3,2016-06-30
036092,16,183,03,+34.18707,-118.58023,01.6,05,063,3,2016-07-01
036092,16,183,15,+34.17982,-118.58784,00.8,09,041,3,2016-07-01
036092,16,183,16,+34.17977,-118.58792,01.3,06,041,3,2016-07-01
036092,16,184,04,+34.18386,-118.58679,00.9,08,042,3,2016-07-02
036092,16,184,17,+34.18249,-118.58596,01.0,09,069,3,2016-07-02
036092,16,185,05,+34.18058,-118.58107,01.3,06,041,3,2016-07-03
036092,16,185,18,+34.18391,-118.58541,00.9,09,042,3,2016-07-03
036092,16,186,06,+34.18103,-118.57201,01.3,07,041,3,2016-07-04
036092,16,186,19,+34.17964,-118.57540,01.3,06,069,3,2016-07-04
036092,16,187,07,+34.18276,-118.58771,01.1,07,041,3,2016-07-05
036092,16,187,20,+34.18004,-118.57546,09.8,04,047,3,2016-07-05
036092,16,188,21,+34.18245,-118.58611,01.2,07,041,3,2016-07-06
036092,16,189,09,+34.18132,-118.58719,00.8,09,041,3,2016-07-07
036092,16,189,22,+34.18319,-118.58584,01.0,08,041,3,2016-07-07
036092,16,190,10,+34.18033,-118.58847,01.6,05,041,3,2016-07-08
036092,16,190,23,+34.18156,-118.57585,04.4,04,045,3,2016-07-08
036092,16,191,11,+34.18566,-118.58418,00.9,08,041,3,2016-07-09
036092,16,192,00,+34.18313,-118.58361,00.9,10,041,3,2016-07-10
036092,16,193,01,+34.18002,-118.58839,01.5,06,041,3,2016-07-11
036092,16,194,02,+34.18318,-118.57825,01.0,08,057,3,2016-07-12
036092,16,194,14,+34.18089,-118.57557,00.9,08,041,3,2016-07-12
036092,16,195,03,+34.18370,-118.58200,00.9,08,041,3,2016-07-13
036092,16,195,15,+34.17990,-118.57514,01.4,06,041,3,2016-07-13
036092,16,195,16,+34.17976,-118.57502,01.1,07,041,3,2016-07-13
036092,16,196,04,+34.18076,-118.57585,00.8,09,041,3,2016-07-14
036092,16,196,17,+34.17987,-118.57523,00.8,09,041,3,2016-07-14
036092,16,197,05,+34.18086,-118.58168,01.0,08,064,3,2016-07-15
036092,16,197,18,+34.18344,-118.58193,01.2,06,041,3,2016-07-15
036092,16,198,06,+34.18090,-118.58181,00.9,09,041,3,2016-07-16
036092,16,198,19,+34.18325,-118.58142,01.3,06,063,3,2016-07-16
036092,16,199,07,+34.18709,-118.58528,01.0,07,042,3,2016-07-17
036092,16,199,20,+34.18007,-118.57487,01.0,08,068,3,2016-07-17
036092,16,200,08,+34.18717,-118.58542,00.7,10,042,3,2016-07-18
036092,16,200,21,+34.18248,-118.58471,01.4,06,041,3,2016-07-18
036092,16,201,22,+34.18376,-118.58541,00.8,10,042,3,2016-07-19
036092,16,202,10,+34.18109,-118.58733,00.8,09,041,3,2016-07-20
036092,16,202,23,+34.18154,-118.58292,01.3,07,063,3,2016-07-20
036092,16,204,00,+34.18424,-118.58199,01.4,07,041,3,2016-07-22
036092,16,205,01,+34.18379,-118.58238,00.8,11,041,3,2016-07-23
036092,16,205,13,+34.18363,-118.58349,01.2,07,042,3,2016-07-23
036092,16,206,02,+34.17936,-118.58328,01.4,07,070,3,2016-07-24
036092,16,206,06,+34.17960,-118.57361,01.4,06,120,3,2016-07-24
036092,16,206,14,+34.18006,-118.58786,01.7,06,041,3,2016-07-24
036092,16,207,16,+34.18361,-118.58347,00.8,10,041,3,2016-07-25
036092,16,208,04,+34.18018,-118.57746,01.4,05,042,3,2016-07-26
036092,16,208,17,+34.18361,-118.58347,00.8,10,041,3,2016-07-26
036092,16,209,05,+34.18008,-118.58801,01.4,06,063,3,2016-07-27
036092,16,209,18,+34.18702,-118.58246,01.0,08,041,3,2016-07-27
036092,16,210,06,+34.17972,-118.57525,01.1,07,041,3,2016-07-28
036092,16,210,19,+34.17966,-118.57510,01.0,07,041,3,2016-07-28
036092,16,211,07,+34.17975,-118.58615,01.0,08,041,3,2016-07-29
036092,16,211,20,+34.18014,-118.57981,01.2,06,042,3,2016-07-29
036092,16,212,21,+34.18246,-118.58602,01.3,07,041,3,2016-07-30
036092,16,213,09,+34.18709,-118.58254,01.2,07,041,3,2016-07-31
036092,16,213,22,+34.18265,-118.58322,01.0,08,041,3,2016-07-31
036092,16,214,10,+34.17974,-118.57520,01.1,07,041,3,2016-08-01
036092,16,214,23,+34.18478,-118.58156,01.7,05,042,3,2016-08-01
036092,16,215,11,+34.18007,-118.58412,01.4,05,041,3,2016-08-02
036092,16,216,00,+34.18103,-118.57754,02.0,04,041,3,2016-08-03
036092,16,216,12,+34.17999,-118.58792,00.9,08,041,3,2016-08-03
036092,16,217,01,+34.18086,-118.57151,01.2,06,041,3,2016-08-04
036092,16,217,13,+34.17943,-118.58624,01.6,04,041,3,2016-08-04
036092,16,218,02,+34.18099,-118.57559,00.9,09,042,3,2016-08-05
036092,16,219,03,+34.18017,-118.57548,01.2,06,041,3,2016-08-06
036092,16,219,15,+34.18013,-118.58412,01.2,06,042,3,2016-08-06
036092,16,219,16,+34.18011,-118.58399,00.9,08,041,3,2016-08-06
036092,16,220,04,+34.18677,-118.58699,00.8,09,041,3,2016-08-07
036092,16,220,17,+34.18294,-118.58328,00.9,10,041,3,2016-08-07
036092,16,221,05,+34.18010,-118.57977,01.0,08,042,3,2016-08-08
036092,16,221,18,+34.18281,-118.58339,00.9,09,041,3,2016-08-08
036092,16,222,06,+34.18407,-118.58532,00.9,09,041,3,2016-08-09
036092,16,222,19,+34.17955,-118.57451,01.5,05,047,3,2016-08-09
036092,16,223,07,+34.17987,-118.58515,00.9,09,041,3,2016-08-10
036092,16,223,20,+34.18367,-118.58277,01.2,07,041,3,2016-08-10
036092,16,224,21,+34.18249,-118.58620,03.6,06,041,3,2016-08-11
036092,16,225,09,+34.18143,-118.58732,00.9,09,041,3,2016-08-12
036092,16,226,23,+34.18807,-118.58000,01.1,07,041,3,2016-08-13
036092,16,228,12,+34.18008,-118.58412,00.9,08,041,3,2016-08-15
036092,16,229,13,+34.17927,-118.58596,01.5,05,065,3,2016-08-16
036092,16,230,02,+34.18666,-118.58779,01.1,07,041,3,2016-08-17
036092,16,231,03,+34.18256,-118.58488,00.9,08,041,3,2016-08-18
036092,16,232,04,+34.17395,-118.58454,00.9,08,057,3,2016-08-19
036092,16,232,17,+34.17411,-118.57928,01.7,05,041,3,2016-08-19
036092,16,233,05,+34.18008,-118.58229,01.4,05,089,3,2016-08-20
036092,16,233,18,+34.18696,-118.58251,01.5,05,041,3,2016-08-20
036092,16,234,06,+34.17994,-118.57743,00.9,08,041,3,2016-08-21
036092,16,234,19,+34.18001,-118.57485,01.1,07,041,3,2016-08-21
036092,16,235,07,+34.18070,-118.57504,00.9,08,041,3,2016-08-22
